"Latest: Time (s)","Latest: Potential (V)"
0,2.69841269841
2E-05,2.7032967033
4E-05,2.7032967033
6E-05,2.69352869353
8E-05,2.69352869353
0.0001,2.68376068376
0.00012,2.68376068376
0.00014,2.67887667888
0.00016,2.67887667888
0.00018,2.67399267399
0.0002,2.67399267399
0.00022,2.66910866911
0.00024,2.66910866911
0.00026,2.65445665446
0.00028,2.65445665446
0.0003,2.65445665446
0.00032,2.65445665446
0.00034,2.64957264957
0.00036,2.64957264957
0.00038,2.64468864469
0.0004,2.64468864469
0.00042,2.64957264957
0.00044,2.64957264957
0.00046,2.64957264957
0.00048,2.64957264957
0.0005,2.64957264957
0.00052,2.64957264957
0.00054,2.64957264957
0.00056,2.64957264957
0.00058,2.64957264957
0.0006,2.64957264957
0.00062,2.64957264957
0.00064,2.64957264957
0.00066,2.64957264957
0.00068,2.64957264957
0.0007,2.64957264957
0.00072,2.64957264957
0.00074,2.64957264957
0.00076,2.64957264957
0.00078,2.64957264957
0.0008,2.64957264957
0.00082,2.63492063492
0.00084,2.63492063492
0.00086,2.6105006105
0.00088,2.6105006105
0.0009,2.60073260073
0.00092,2.60073260073
0.00094,2.60073260073
0.00096,2.60073260073
0.00098,2.59584859585
0.001,2.59584859585
0.00102,2.59584859585
0.00104,2.59584859585
0.00106,2.59584859585
0.00108,2.59584859585
0.0011,2.52747252747
0.00112,2.52747252747
0.00114,2.28327228327
0.00116,2.28327228327
0.00118,1.86813186813
0.0012,1.86813186813
0.00122,1.71184371184
0.00124,1.71184371184
0.00126,1.46764346764
0.00128,1.46764346764
0.0013,1.34554334554
0.00132,1.34554334554
0.00134,1.27228327228
0.00136,1.27228327228
0.00138,1.20879120879
0.0014,1.20879120879
0.00142,1.15018315018
0.00144,1.15018315018
0.00146,1.10134310134
0.00148,1.10134310134
0.0015,1.05738705739
0.00152,1.05738705739
0.00154,1.01831501832
0.00156,1.01831501832
0.00158,0.979242979243
0.0016,0.979242979243
0.00162,0.935286935287
0.00164,0.935286935287
0.00166,0.901098901099
0.00168,0.901098901099
0.0017,0.862026862027
0.00172,0.862026862027
0.00174,0.827838827839
0.00176,0.827838827839
0.00178,0.793650793651
0.0018,0.793650793651
0.00182,0.769230769231
0.00184,0.769230769231
0.00186,0.735042735043
0.00188,0.735042735043
0.0019,0.705738705739
0.00192,0.705738705739
0.00194,0.681318681319
0.00196,0.681318681319
0.00198,0.647130647131
0.002,0.647130647131
0.00202,0.622710622711
0.00204,0.622710622711
0.00206,0.593406593407
0.00208,0.593406593407
0.0021,0.578754578755
0.00212,0.578754578755
0.00214,0.554334554335
0.00216,0.554334554335
0.00218,0.529914529915
0.0022,0.529914529915
0.00222,0.510378510379
0.00224,0.510378510379
0.00226,0.490842490842
0.00228,0.490842490842
0.0023,0.461538461538
0.00232,0.461538461538
0.00234,0.45177045177
0.00236,0.45177045177
0.00238,0.437118437118
0.0024,0.437118437118
0.00242,0.417582417582
0.00244,0.417582417582
0.00246,0.40293040293
0.00248,0.40293040293
0.0025,0.388278388278
0.00252,0.388278388278
0.00254,0.368742368742
0.00256,0.368742368742
0.00258,0.35409035409
0.0026,0.35409035409
0.00262,0.339438339438
0.00264,0.339438339438
0.00266,0.324786324786
0.00268,0.324786324786
0.0027,0.315018315018
0.00272,0.315018315018
0.00274,0.30525030525
0.00276,0.30525030525
0.00278,0.285714285714
0.0028,0.285714285714
0.00282,0.275946275946
0.00284,0.275946275946
0.00286,0.266178266178
0.00288,0.266178266178
0.0029,0.25641025641
0.00292,0.25641025641
0.00294,0.246642246642
0.00296,0.246642246642
0.00298,0.236874236874
0.003,0.236874236874
0.00302,0.23199023199
0.00304,0.23199023199
0.00306,0.217338217338
0.00308,0.217338217338
0.0031,0.20757020757
0.00312,0.20757020757
0.00314,0.197802197802
0.00316,0.197802197802
0.00318,0.192918192918
0.0032,0.192918192918
0.00322,0.188034188034
0.00324,0.188034188034
0.00326,0.18315018315
0.00328,0.18315018315
0.0033,0.173382173382
0.00332,0.173382173382
0.00334,0.168498168498
0.00336,0.168498168498
0.00338,0.15873015873
0.0034,0.15873015873
0.00342,0.148962148962
0.00344,0.148962148962
0.00346,0.144078144078
0.00348,0.144078144078
0.0035,0.144078144078
0.00352,0.144078144078
0.00354,0.13431013431
0.00356,0.13431013431
0.00358,0.129426129426
0.0036,0.129426129426
0.00362,0.119658119658
0.00364,0.119658119658
0.00366,0.114774114774
0.00368,0.114774114774
0.0037,0.114774114774
0.00372,0.114774114774
0.00374,0.10989010989
0.00376,0.10989010989
0.00378,0.10989010989
0.0038,0.10989010989
0.00382,0.105006105006
0.00384,0.105006105006
0.00386,0.100122100122
0.00388,0.100122100122
0.0039,0.0903540903541
0.00392,0.0903540903541
0.00394,0.0854700854701
0.00396,0.0854700854701
0.00398,0.0903540903541
0.004,0.0903540903541
0.00402,0.0805860805861
0.00404,0.0805860805861
0.00406,0.0805860805861
0.00408,0.0805860805861
0.0041,0.0805860805861
0.00412,0.0805860805861
0.00414,0.0757020757021
0.00416,0.0757020757021
0.00418,0.0708180708181
0.0042,0.0708180708181
0.00422,0.0659340659341
0.00424,0.0659340659341
0.00426,0.0659340659341
0.00428,0.0659340659341
0.0043,0.0659340659341
0.00432,0.0659340659341
0.00434,0.0659340659341
0.00436,0.0659340659341
0.00438,0.0610500610501
0.0044,0.0610500610501
0.00442,0.0561660561661
0.00444,0.0561660561661
0.00446,0.0561660561661
0.00448,0.0561660561661
0.0045,0.0512820512821
0.00452,0.0512820512821
0.00454,0.0512820512821
0.00456,0.0512820512821
0.00458,0.0512820512821
0.0046,0.0512820512821
0.00462,0.046398046398
0.00464,0.046398046398
0.00466,0.046398046398
0.00468,0.046398046398
0.0047,0.041514041514
0.00472,0.041514041514
0.00474,0.041514041514
0.00476,0.041514041514
0.00478,0.03663003663
0.0048,0.03663003663
0.00482,0.03663003663
0.00484,0.03663003663
0.00486,0.03663003663
0.00488,0.03663003663
0.0049,0.041514041514
0.00492,0.041514041514
0.00494,0.03663003663
0.00496,0.03663003663
0.00498,0.031746031746
0.005,0.031746031746
0.00502,0.031746031746
0.00504,0.031746031746
0.00506,0.031746031746
0.00508,0.031746031746
0.0051,0.031746031746
0.00512,0.031746031746
0.00514,0.031746031746
0.00516,0.031746031746
0.00518,0.031746031746
0.0052,0.031746031746
0.00522,0.026862026862
0.00524,0.026862026862
0.00526,0.026862026862
0.00528,0.026862026862
0.0053,0.021978021978
0.00532,0.021978021978
0.00534,0.026862026862
0.00536,0.026862026862
0.00538,0.026862026862
0.0054,0.026862026862
0.00542,0.021978021978
0.00544,0.021978021978
0.00546,0.021978021978
0.00548,0.021978021978
0.0055,0.021978021978
0.00552,0.021978021978
0.00554,0.017094017094
0.00556,0.017094017094
0.00558,0.017094017094
0.0056,0.017094017094
0.00562,0.017094017094
0.00564,0.017094017094
0.00566,0.017094017094
0.00568,0.017094017094
0.0057,0.017094017094
0.00572,0.017094017094
0.00574,0.021978021978
0.00576,0.021978021978
0.00578,0.01221001221
0.0058,0.01221001221
0.00582,0.01221001221
0.00584,0.01221001221
